date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:46:57	55458/55458	---M-Z	200	added ('OK')	text/html	etag:%22d8a2-6401b6ac-33f17f6ab3268511;gz%22	https://bridgetrade.co.uk/home.html	C:/My%20Web%20Sites/hamsa/bridgetrade.co.uk/home.html	(from )
00:46:58	1159/1159	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-63978ef2-272a3bd9412939b5;gz%22	https://bridgetrade.co.uk/robots.txt		(from )
00:46:59	1150/1150	---M-Z	200	added ('OK')	image/x-icon	etag:%2247e-6401b6ac-5a03c7c266dd2d48;gz%22	https://bridgetrade.co.uk/assets/images/favicon.ico	C:/My%20Web%20Sites/hamsa/bridgetrade.co.uk/assets/images/favicon.ico	(from https://bridgetrade.co.uk/home.html)
00:46:59	402/402	---M--	200	added ('OK')	image/png	etag:%22192-6401b6ac-3a61a7a26d7328af;;;%22	https://bridgetrade.co.uk/assets/images/apple-touch-icon.png	C:/My%20Web%20Sites/hamsa/bridgetrade.co.uk/assets/images/apple-touch-icon.png	(from https://bridgetrade.co.uk/home.html)
00:47:01	559/559	---M--	200	added ('OK')	image/png	etag:%2222f-6401b6ac-e49c4d4907e379cd;;;%22	https://bridgetrade.co.uk/assets/images/apple-touch-icon-72x72.png	C:/My%20Web%20Sites/hamsa/bridgetrade.co.uk/assets/images/apple-touch-icon-72x72.png	(from https://bridgetrade.co.uk/home.html)
00:47:02	996/996	---M--	200	added ('OK')	image/png	etag:%223e4-6401b6ac-10ffa27037e5cf53;;;%22	https://bridgetrade.co.uk/assets/images/apple-touch-icon-114x114.png	C:/My%20Web%20Sites/hamsa/bridgetrade.co.uk/assets/images/apple-touch-icon-114x114.png	(from https://bridgetrade.co.uk/home.html)
00:47:04	159418/159418	---M-Z	200	added ('OK')	text/css	etag:%2226eba-6401b6ac-3120386e634b7e03;gz%22	https://bridgetrade.co.uk/assets/css/vendor/bootstrap.min.css	C:/My%20Web%20Sites/hamsa/bridgetrade.co.uk/assets/css/vendor/bootstrap.min.css	(from https://bridgetrade.co.uk/home.html)
00:47:05	13389/13389	---M-Z	200	added ('OK')	text/css	etag:%22344d-6401b6ac-5f1df4be4499190e;gz%22	https://bridgetrade.co.uk/assets/css/vendor/slider.min.css	C:/My%20Web%20Sites/hamsa/bridgetrade.co.uk/assets/css/vendor/slider.min.css	(from https://bridgetrade.co.uk/home.html)
00:47:05	99221/99221	---M-Z	200	added ('OK')	text/css	etag:%2218395-6401b6ac-58c058d903ef778d;gz%22	https://bridgetrade.co.uk/assets/css/main.css	C:/My%20Web%20Sites/hamsa/bridgetrade.co.uk/assets/css/main.css	(from https://bridgetrade.co.uk/home.html)
00:47:06	11731/11731	---M-Z	200	added ('OK')	text/css	etag:%222dd3-6401b6ac-bdcdf5b432657fd6;gz%22	https://bridgetrade.co.uk/assets/css/vendor/icons.min.css	C:/My%20Web%20Sites/hamsa/bridgetrade.co.uk/assets/css/vendor/icons.min.css	(from https://bridgetrade.co.uk/home.html)
00:47:07	58484/58484	---M-Z	200	added ('OK')	text/css	etag:%22e474-6401b6ac-abcfb515a9c322f3;gz%22	https://bridgetrade.co.uk/assets/css/vendor/icons-fa.min.css	C:/My%20Web%20Sites/hamsa/bridgetrade.co.uk/assets/css/vendor/icons-fa.min.css	(from https://bridgetrade.co.uk/home.html)
